pathway	category
G1/S Transition	Cell Cycle
Cyclin A:Cdk2-associated events at S phase entry	Cell Cycle
Transcriptional regulation by RUNX3	Gene expression (Transcription)
Regulation of RUNX3 expression and activity	Gene expression (Transcription)
Signaling by NOTCH4	Signal Transduction
Negative regulation of NOTCH4 signaling	Signal Transduction
Nuclear events mediated by NFE2L2	Cellular responses to stimuli
GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	Cellular responses to stimuli
N-glycan trimming in the ER and Calnexin/Calreticulin cycle	Metabolism of proteins
ER Quality Control Compartment (ERQC)	Metabolism of proteins
Calnexin/calreticulin cycle	Metabolism of proteins
Signaling by BMP	Signal Transduction
Signaling by TGFB family members	Signal Transduction
Cell-Cell communication	Cell-Cell communication
Signal regulatory protein family interactions	Cell-Cell communication
Detoxification of Reactive Oxygen Species	Cellular responses to stimuli
Ion influx/efflux at host-pathogen interface	Immune System
Thrombin signalling through proteinase activated receptors (PARs)	Hemostasis
Signaling by TGF-beta Receptor Complex	Signal Transduction
Formation of the beta-catenin:TCF transactivating complex	Signal Transduction
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Gene expression (Transcription)
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Gene expression (Transcription)
Deactivation of the beta-catenin transactivating complex	Signal Transduction
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Metabolism of proteins
Post-translational protein phosphorylation	Metabolism of proteins
Oxidative Stress Induced Senescence	Cellular responses to stimuli
Cellular Senescence	Cellular responses to stimuli
SUMOylation of transcription cofactors	Metabolism of proteins
SUMOylation of DNA methylation proteins	Metabolism of proteins
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	Gene expression (Transcription)
Regulation of PTEN gene transcription	Signal Transduction
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	Protein localization
Formation of RNA Pol II elongation complex 	Gene expression (Transcription)
Formation of the Early Elongation Complex	Gene expression (Transcription)
Formation of HIV elongation complex in the absence of HIV Tat	Disease
Formation of the HIV-1 Early Elongation Complex	Disease
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	Disease
HIV Transcription Elongation	Disease
Transcription of the HIV genome	Disease
Formation of HIV-1 elongation complex containing HIV-1 Tat	Disease
Pausing and recovery of Tat-mediated HIV elongation	Disease
Abortive elongation of HIV-1 transcript in the absence of Tat	Disease
Tat-mediated HIV elongation arrest and recovery	Disease
Tat-mediated elongation of the HIV-1 transcript	Disease
HIV elongation arrest and recovery	Disease
Pausing and recovery of HIV elongation	Disease
RNA Polymerase II Pre-transcription Events	Gene expression (Transcription)
TP53 Regulates Transcription of DNA Repair Genes	Gene expression (Transcription)
RNA polymerase II transcribes snRNA genes	Gene expression (Transcription)
mRNA Capping	Metabolism of RNA
RNA Polymerase II Transcription Elongation	Gene expression (Transcription)
RNA Pol II CTD phosphorylation and interaction with CE	Gene expression (Transcription)
HIV Transcription Initiation	Disease
RNA Polymerase II HIV Promoter Escape	Disease
Regulation of TP53 Activity through Phosphorylation	Gene expression (Transcription)
RNA Polymerase II Promoter Escape	Gene expression (Transcription)
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	Gene expression (Transcription)
RNA Polymerase II Transcription Initiation	Gene expression (Transcription)
RNA Polymerase II Transcription Initiation And Promoter Clearance	Gene expression (Transcription)
Free fatty acid receptors	Signal Transduction
Apoptosis induced DNA fragmentation	Programmed Cell Death
Apoptotic execution phase	Programmed Cell Death
Clathrin-mediated endocytosis	Vesicle-mediated transport
Signaling by ALK in cancer	Disease
ALK mutants bind TKIs	Disease
Signaling by ALK fusions and activated point mutants	Disease
Signaling by NODAL	Developmental Biology
Regulation of signaling by NODAL	Developmental Biology
TNFs bind their physiological receptors	Immune System
L13a-mediated translational silencing of Ceruloplasmin expression	Metabolism of proteins
Eukaryotic Translation Initiation	Metabolism of proteins
Translation initiation complex formation	Metabolism of proteins
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	Metabolism of proteins
Formation of a pool of free 40S subunits	Metabolism of proteins
Formation of the ternary complex, and subsequently, the 43S complex	Metabolism of proteins
Ribosomal scanning and start codon recognition	Metabolism of proteins
GTP hydrolysis and joining of the 60S ribosomal subunit	Metabolism of proteins
Cap-dependent Translation Initiation	Metabolism of proteins
Translation	Metabolism of proteins
Presynaptic depolarization and calcium channel opening	Neuronal System
RHOU GTPase cycle	Signal Transduction
Activation of ATR in response to replication stress	Cell Cycle
Activation of the pre-replicative complex	Cell Cycle
Transcriptional Regulation by E2F6	Gene expression (Transcription)
BMAL1:CLOCK,NPAS2 activates circadian gene expression	Circadian Clock
Circadian Clock	Circadian Clock
PI Metabolism	Metabolism
Phospholipid metabolism	Metabolism
Synthesis of PIPs at the plasma membrane	Metabolism
Negative regulation of the PI3K/AKT network	Signal Transduction
Constitutive Signaling by Aberrant PI3K in Cancer	Disease
Interleukin-3, Interleukin-5 and GM-CSF signaling	Immune System
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Signal Transduction
RET signaling	Developmental Biology
Signaling by Erythropoietin	Signal Transduction
Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	Signal Transduction
Interleukin receptor SHC signaling	Immune System
Regulation of signaling by CBL	Immune System
Regulation of pyruvate dehydrogenase (PDH) complex	Metabolism
Signaling by Retinoic Acid	Signal Transduction
Pyruvate metabolism	Metabolism
Pyruvate metabolism and Citric Acid (TCA) cycle	Metabolism
Transport of vitamins, nucleosides, and related molecules	Transport of small molecules
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	Transport of small molecules
Neurotransmitter release cycle	Neuronal System
Glutamate Neurotransmitter Release Cycle	Neuronal System
Transport of inorganic cations/anions and amino acids/oligopeptides	Transport of small molecules
P2Y receptors	Signal Transduction
Nucleotide-like (purinergic) receptors	Signal Transduction
Defective SLC33A1 causes spastic paraplegia 42 (SPG42)	Disease
Metabolism of nitric oxide: NOS3 activation and regulation	Metabolism
NOSTRIN mediated eNOS trafficking	Metabolism
EPH-Ephrin signaling	Developmental Biology
Netrin-1 signaling	Developmental Biology
Nephrin family interactions	Cell-Cell communication
EPHB-mediated forward signaling	Developmental Biology
DCC mediated attractive signaling	Developmental Biology
Nitric oxide stimulates guanylate cyclase	Hemostasis
Platelet homeostasis	Hemostasis
cGMP effects	Hemostasis
vRNP Assembly	Disease
Mitochondrial biogenesis	Organelle biogenesis and maintenance
Mitochondrial transcription initiation	Gene expression (Transcription)
Transcriptional activation of mitochondrial biogenesis	Organelle biogenesis and maintenance
Transcription from mitochondrial promoters	Gene expression (Transcription)
MTOR signalling	Signal Transduction
mTORC1-mediated signalling	Signal Transduction
Chemokine receptors bind chemokines	Signal Transduction
HDACs deacetylate histones	Chromatin organization
Chromatin modifying enzymes	Chromatin organization
NoRC negatively regulates rRNA expression	Gene expression (Transcription)
Chromatin organization	Chromatin organization
Negative epigenetic regulation of rRNA expression	Gene expression (Transcription)
mRNA Splicing - Major Pathway	Metabolism of RNA
mRNA Splicing	Metabolism of RNA
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	Metabolism of RNA
Synthesis of PIPs at the Golgi membrane	Metabolism
Synthesis of PIPs at the early endosome membrane	Metabolism
Synthesis of PIPs at the late endosome membrane	Metabolism
Integration of energy metabolism	Metabolism
Regulation of insulin secretion	Metabolism
PI3K Cascade	Signal Transduction
IRS-mediated signalling	Signal Transduction
GPVI-mediated activation cascade	Hemostasis
Interleukin-7 signaling	Immune System
Signaling by SCF-KIT	Signal Transduction
Downstream signal transduction	Signal Transduction
Signaling by VEGF	Signal Transduction
PI3K/AKT activation	Signal Transduction
Signaling by ALK	Signal Transduction
Tie2 Signaling	Hemostasis
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Signal Transduction
DAP12 signaling	Immune System
IGF1R signaling cascade	Signal Transduction
IRS-related events triggered by IGF1R	Signal Transduction
CD28 co-stimulation	Immune System
CD28 dependent PI3K/Akt signaling	Immune System
VEGFA-VEGFR2 Pathway	Signal Transduction
Insulin receptor signalling cascade	Signal Transduction
Signaling by Insulin receptor	Signal Transduction
Signaling by KIT in disease	Disease
Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	Disease
Signaling by PDGFR in disease	Disease
Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	Disease
Signaling by PDGFRA extracellular domain mutants	Disease
RND3 GTPase cycle	Signal Transduction
RND1 GTPase cycle	Signal Transduction
Intra-Golgi traffic	Vesicle-mediated transport
Lysosomal oligosaccharide catabolism	Metabolism
Heparan sulfate/heparin (HS-GAG) metabolism	Metabolism
Chondroitin sulfate/dermatan sulfate metabolism	Metabolism
Metabolism of vitamins and cofactors	Metabolism
A tetrasaccharide linker sequence is required for GAG synthesis	Metabolism
HS-GAG biosynthesis	Metabolism
HS-GAG degradation	Metabolism
Visual phototransduction	Sensory Perception
Non-integrin membrane-ECM interactions	Extracellular matrix organization
Diseases associated with glycosaminoglycan metabolism	Disease
Defective B4GALT7 causes EDS, progeroid type	Disease
Defective B3GAT3 causes JDSSDHD	Disease
Defective EXT2 causes exostoses 2	Disease
Defective EXT1 causes exostoses 1, TRPS2 and CHDS	Disease
Defective B3GALT6 causes EDSP2 and SEMDJL1	Disease
Metabolism of fat-soluble vitamins	Metabolism
Attachment and Entry	Disease
Retinoid metabolism and transport	Metabolism
Early SARS-CoV-2 Infection Events	Disease
Activation of anterior HOX genes in hindbrain development during early embryogenesis	Developmental Biology
Activation of HOX genes during differentiation	Developmental Biology
Insulin processing	Metabolism of proteins
VxPx cargo-targeting to cilium	Organelle biogenesis and maintenance
Butyrophilin (BTN) family interactions	Immune System
Regulation of beta-cell development	Developmental Biology
Regulation of gene expression in early pancreatic precursor cells	Developmental Biology
Nuclear Receptor transcription pathway	Gene expression (Transcription)
SUMOylation of intracellular receptors	Metabolism of proteins
Estrogen-dependent gene expression	Signal Transduction
TP53 Regulates Metabolic Genes	Gene expression (Transcription)
Cytoprotection by HMOX1	Cellular responses to stimuli
Metalloprotease DUBs	Metabolism of proteins
Tight junction interactions	Cell-Cell communication
Cell-cell junction organization	Cell-Cell communication
Cell junction organization	Cell-Cell communication
RUNX1 regulates expression of components of tight junctions	Gene expression (Transcription)
Arachidonic acid metabolism	Metabolism
CHL1 interactions	Developmental Biology
Major pathway of rRNA processing in the nucleolus and cytosol	Metabolism of RNA
rRNA processing	Metabolism of RNA
rRNA processing in the nucleus and cytosol	Metabolism of RNA
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Disease
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Disease
MECP2 regulates transcription of neuronal ligands	Gene expression (Transcription)
Ephrin signaling	Developmental Biology
Neurofascin interactions	Developmental Biology
Glycerophospholipid biosynthesis	Metabolism
Synthesis of PI	Metabolism
rRNA modification in the nucleus and cytosol	Metabolism of RNA
Association of TriC/CCT with target proteins during biosynthesis	Metabolism of proteins
Pre-NOTCH Processing in Golgi	Signal Transduction
Pre-NOTCH Expression and Processing	Signal Transduction
Class I peroxisomal membrane protein import	Protein localization
Digestion	Digestion and absorption
Digestion and absorption	Digestion and absorption
Interleukin-10 signaling	Immune System
Interleukin-4 and Interleukin-13 signaling	Immune System
Myogenesis	Developmental Biology
Interferon gamma signaling	Immune System
RNA Polymerase III Transcription Termination	Gene expression (Transcription)
Pre-NOTCH Transcription and Translation	Signal Transduction
Oncogene Induced Senescence	Cellular responses to stimuli
G2 Phase	Cell Cycle
Cyclin D associated events in G1	Cell Cycle
G1 Phase	Cell Cycle
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	Disease
Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	Disease
Diseases of mitotic cell cycle	Disease
Aberrant regulation of mitotic cell cycle due to RB1 defects	Disease
Telomere Maintenance	Cell Cycle
Telomere Extension By Telomerase	Cell Cycle
Extension of Telomeres	Cell Cycle
COPII-mediated vesicle transport	Metabolism of proteins
WNT ligand biogenesis and trafficking	Signal Transduction
Interconversion of nucleotide di- and triphosphates	Metabolism
Aspirin ADME	Drug ADME
Gluconeogenesis	Metabolism
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	Cell Cycle
Inactivation of APC/C via direct inhibition of the APC/C complex	Cell Cycle
APC/C:Cdc20 mediated degradation of Cyclin B	Cell Cycle
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	Cell Cycle
Phosphorylation of the APC/C	Cell Cycle
APC-Cdc20 mediated degradation of Nek2A	Cell Cycle
Senescence-Associated Secretory Phenotype (SASP)	Cellular responses to stimuli
Transcriptional Regulation by VENTX	Gene expression (Transcription)
Aberrant regulation of mitotic exit in cancer due to RB1 defects	Disease
ChREBP activates metabolic gene expression	Metabolism
Regulation of cholesterol biosynthesis by SREBP (SREBF)	Metabolism
Biotin transport and metabolism	Metabolism
Metabolism of water-soluble vitamins and cofactors	Metabolism
Carnitine metabolism	Metabolism
Activation of gene expression by SREBF (SREBP)	Metabolism
Vitamins B6 activation to pyridoxal phosphate	Metabolism
NR1H2 and NR1H3-mediated signaling	Signal Transduction
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	Signal Transduction
Infection with Mycobacterium tuberculosis	Disease
Escape of Mtb from the phagocyte	Disease
Phagocyte cell death caused by cytosolic Mtb	Disease
Neurexins and neuroligins	Neuronal System
Protein-protein interactions at synapses	Neuronal System
Regulation of KIT signaling	Signal Transduction
Sphingolipid de novo biosynthesis	Metabolism
RMTs methylate histone arginines	Chromatin organization
FLT3 Signaling	Immune System
Negative regulation of FLT3	Immune System
Growth hormone receptor signaling	Immune System
Signaling by ERBB2	Signal Transduction
Signaling by ERBB2 in Cancer	Disease
Signaling by ERBB4	Signal Transduction
SHC1 events in ERBB2 signaling	Signal Transduction
PI3K events in ERBB4 signaling	Signal Transduction
SHC1 events in ERBB4 signaling	Signal Transduction
Nuclear signaling by ERBB4	Signal Transduction
GRB7 events in ERBB2 signaling	Signal Transduction
Downregulation of ERBB2:ERBB3 signaling	Signal Transduction
GRB2 events in ERBB2 signaling	Signal Transduction
PI3K events in ERBB2 signaling	Signal Transduction
ERBB2 Regulates Cell Motility	Signal Transduction
ERBB2 Activates PTK6 Signaling	Signal Transduction
Signaling by PTK6	Signal Transduction
Downregulation of ERBB2 signaling	Signal Transduction
Signaling by Non-Receptor Tyrosine Kinases	Signal Transduction
Signaling by ERBB2 KD Mutants	Disease
Signaling by ERBB2 TMD/JMD mutants	Disease
Transport of glycerol from adipocytes to the liver by Aquaporins	Transport of small molecules
Passive transport by Aquaporins	Transport of small molecules
Aquaporin-mediated transport	Transport of small molecules
Citric acid cycle (TCA cycle)	Metabolism
Cargo recognition for clathrin-mediated endocytosis	Vesicle-mediated transport
Semaphorin interactions	Developmental Biology
CRMPs in Sema3A signaling	Developmental Biology
Interleukin-6 signaling	Immune System
Signaling by Leptin	Signal Transduction
Interleukin-6 family signaling	Immune System
Regulation of IFNG signaling	Immune System
PTK6 Activates STAT3	Signal Transduction
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	Gene expression (Transcription)
Interferon alpha/beta signaling	Immune System
Regulation of IFNA/IFNB signaling	Immune System
Signaling by CSF3 (G-CSF)	Immune System
Inactivation of CSF3 (G-CSF) signaling	Immune System
RHO GTPases activate CIT	Signal Transduction
Chondroitin sulfate biosynthesis	Metabolism
Dermatan sulfate biosynthesis	Metabolism
CS/DS degradation	Metabolism
Defective CHST3 causes SEDCJD	Disease
Defective CHST14 causes EDS, musculocontractural type	Disease
Defective CHSY1 causes TPBS	Disease
XBP1(S) activates chaperone genes	Cellular responses to stimuli
IRE1alpha activates chaperones	Cellular responses to stimuli
Unfolded Protein Response (UPR)	Cellular responses to stimuli
HDMs demethylate histones	Chromatin organization
Activation of G protein gated Potassium channels	Neuronal System
G protein gated Potassium channels	Neuronal System
Inwardly rectifying K+ channels	Neuronal System
G-protein activation	Signal Transduction
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	Metabolism
G beta:gamma signalling through PI3Kgamma	Signal Transduction
Prostacyclin signalling through prostacyclin receptor	Hemostasis
G-protein beta:gamma signalling	Signal Transduction
Adrenaline,noradrenaline inhibits insulin secretion	Metabolism
Ca2+ pathway	Signal Transduction
G beta:gamma signalling through PLC beta	Signal Transduction
ADP signalling through P2Y purinoceptor 1	Hemostasis
Glucagon-type ligand receptors	Signal Transduction
Thromboxane signalling through TP receptor	Hemostasis
Vasopressin regulates renal water homeostasis via Aquaporins	Transport of small molecules
Activation of kainate receptors upon glutamate binding	Neuronal System
Presynaptic function of Kainate receptors	Neuronal System
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	Metabolism of proteins
G beta:gamma signalling through BTK	Signal Transduction
G beta:gamma signalling through CDC42	Signal Transduction
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	Neuronal System
Vitamin B5 (pantothenate) metabolism	Metabolism
WNT mediated activation of DVL	Signal Transduction
Disassembly of the destruction complex and recruitment of AXIN to the membrane	Signal Transduction
Negative regulation of TCF-dependent signaling by DVL-interacting proteins	Signal Transduction
Killing mechanisms	Disease
WNT5:FZD7-mediated leishmania damping	Disease
Signaling by Hippo	Signal Transduction
WNT5A-dependent internalization of FZD4	Signal Transduction
TWIK-releated acid-sensitive K+ channel (TASK)	Neuronal System
Cargo concentration in the ER	Metabolism of proteins
Retrograde transport at the Trans-Golgi-Network	Vesicle-mediated transport
Signaling by EGFR	Signal Transduction
EPH-ephrin mediated repulsion of cells	Developmental Biology
NOTCH4 Activation and Transmission of Signal to the Nucleus	Signal Transduction
Cobalamin (Cbl, vitamin B12) transport and metabolism	Metabolism
Defects in cobalamin (B12) metabolism	Disease
Defects in vitamin and cofactor metabolism	Disease
Defective ABCD4 causes MAHCJ	Disease
Uptake of dietary cobalamins into enterocytes	Metabolism
Transport of RCbl within the body	Metabolism
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	Metabolism
PKMTs methylate histone lysines	Chromatin organization
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	Gene expression (Transcription)
Opsins	Signal Transduction
Intrinsic Pathway for Apoptosis	Programmed Cell Death
Formation of apoptosome	Programmed Cell Death
Activation of caspases through apoptosome-mediated cleavage	Programmed Cell Death
Cytochrome c-mediated apoptotic response	Programmed Cell Death
SMAC (DIABLO) binds to IAPs 	Programmed Cell Death
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 	Programmed Cell Death
SMAC, XIAP-regulated apoptotic response	Programmed Cell Death
Apoptotic factor-mediated response	Programmed Cell Death
TP53 Regulates Transcription of Caspase Activators and Caspases	Gene expression (Transcription)
Regulation of the apoptosome activity	Programmed Cell Death
Inositol phosphate metabolism	Metabolism
Synthesis of IP2, IP, and Ins in the cytosol	Metabolism
Toll Like Receptor 10 (TLR10) Cascade	Immune System
Toll Like Receptor 3 (TLR3) Cascade	Immune System
Toll Like Receptor 5 (TLR5) Cascade	Immune System
Interleukin-17 signaling	Immune System
MAP kinase activation	Immune System
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	Immune System
Uptake and function of anthrax toxins	Disease
Uptake and actions of bacterial toxins	Disease
MyD88 cascade initiated on plasma membrane	Immune System
Synthesis of bile acids and bile salts	Metabolism
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Metabolism
Bile acid and bile salt metabolism	Metabolism
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	Metabolism
alpha-linolenic acid (ALA) metabolism	Metabolism
Beta-oxidation of pristanoyl-CoA	Metabolism
Beta-oxidation of very long chain fatty acids	Metabolism
Regulation of TP53 Activity through Methylation	Gene expression (Transcription)
The canonical retinoid cycle in rods (twilight vision)	Sensory Perception
Homologous DNA Pairing and Strand Exchange	DNA Repair
Processing of DNA double-strand break ends	DNA Repair
Presynaptic phase of homologous DNA pairing and strand exchange	DNA Repair
G2/M DNA damage checkpoint	Cell Cycle
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	Cell Cycle
The phototransduction cascade	Sensory Perception
Inactivation, recovery and regulation of the phototransduction cascade	Sensory Perception
Neurophilin interactions with VEGF and VEGFR	Signal Transduction
Sema3A PAK dependent Axon repulsion	Developmental Biology
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	Developmental Biology
Signal transduction by L1	Developmental Biology
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	Immune System
FOXO-mediated transcription of cell cycle genes	Gene expression (Transcription)
Serotonin Neurotransmitter Release Cycle	Neuronal System
Norepinephrine Neurotransmitter Release Cycle	Neuronal System
Dopamine Neurotransmitter Release Cycle	Neuronal System
Acetylcholine Neurotransmitter Release Cycle	Neuronal System
Cytosolic sensors of pathogen-associated DNA 	Immune System
RNA Polymerase III Chain Elongation	Gene expression (Transcription)
Amine ligand-binding receptors	Signal Transduction
RAF activation	Signal Transduction
Signaling by MRAS-complex mutants	Disease
SHOC2 M1731 mutant abolishes MRAS complex function	Disease
Gain-of-function MRAS complexes activate RAF signaling	Disease
GABA synthesis, release, reuptake and degradation	Neuronal System
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	Neuronal System
Ras activation upon Ca2+ influx through NMDA receptor	Neuronal System
Alpha-oxidation of phytanate	Metabolism
Defective OPLAH causes OPLAHD	Disease
Metabolic disorders of biological oxidation enzymes	Disease
Free fatty acids regulate insulin secretion	Metabolism
Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	Metabolism of proteins
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	Metabolism
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	Immune System
Inflammasomes	Immune System
The AIM2 inflammasome	Immune System
Regulation of HMOX1 expression and activity	Cellular responses to stimuli
Regulation of BACH1 activity	Cellular responses to stimuli
NFE2L2 regulating anti-oxidant/detoxification enzymes	Cellular responses to stimuli
Branched-chain amino acid catabolism	Metabolism
SARS-CoV-2 modulates host translation machinery	Disease
Negative regulation of TCF-dependent signaling by WNT ligand antagonists	Signal Transduction
RHO GTPases Activate Rhotekin and Rhophilins	Signal Transduction
ZBP1(DAI) mediated induction of type I IFNs	Immune System
NOD1/2 Signaling Pathway	Immune System
TICAM1, RIP1-mediated IKK complex recruitment	Immune System
DDX58/IFIH1-mediated induction of interferon-alpha/beta	Immune System
RIP-mediated NFkB activation via ZBP1	Immune System
p75NTR signals via NF-kB	Signal Transduction
p75NTR recruits signalling complexes	Signal Transduction
NF-kB is activated and signals survival	Signal Transduction
TAK1-dependent IKK and NF-kappa-B activation  	Immune System
Regulation of TNFR1 signaling	Signal Transduction
TNFR1-induced NFkappaB signaling pathway	Signal Transduction
IKBKB deficiency causes SCID	Disease
IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)	Disease
IkBA variant leads to EDA-ID	Disease
MAP3K8 (TPL2)-dependent MAPK1/3 activation	Immune System
TNF signaling	Signal Transduction
TRAF6 mediated NF-kB activation	Immune System
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	Immune System
IRAK1 recruits IKK complex	Immune System
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	Immune System
Regulation of NF-kappa B signaling	Immune System
Mitochondrial protein import	Protein localization
HATs acetylate histones	Chromatin organization
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	DNA Repair
Termination of translesion DNA synthesis	DNA Repair
DNA Damage Bypass	DNA Repair
Negative regulators of DDX58/IFIH1 signaling	Immune System
Syndecan interactions	Extracellular matrix organization
Synthesis of PG	Metabolism
Synthesis of PA	Metabolism
Signaling by EGFR in Cancer	Disease
GRB2 events in EGFR signaling	Signal Transduction
GAB1 signalosome	Signal Transduction
SHC1 events in EGFR signaling	Signal Transduction
EGFR downregulation	Signal Transduction
EGFR interacts with phospholipase C-gamma	Signal Transduction
Signaling by Overexpressed Wild-Type EGFR in Cancer	Disease
Inhibition of Signaling by Overexpressed EGFR	Disease
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	Signal Transduction
EPHA-mediated growth cone collapse	Developmental Biology
Sema4D in semaphorin signaling	Developmental Biology
Sema4D induced cell migration and growth-cone collapse	Developmental Biology
Smooth Muscle Contraction	Muscle contraction
RHO GTPases activate PKNs	Signal Transduction
RHO GTPases Activate ROCKs	Signal Transduction
RHO GTPases activate PAKs	Signal Transduction
Signaling by MET	Signal Transduction
Negative regulation of MET activity	Signal Transduction
InlB-mediated entry of Listeria monocytogenes into host cell	Disease
Listeria monocytogenes entry into host cells	Disease
Inhibition of membrane repair	Disease
Prevention of phagosomal-lysosomal fusion	Disease
Suppression of phagosomal maturation	Disease
Response of Mtb to phagocytosis	Disease
RHOBTB3 ATPase cycle	Signal Transduction
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	Gene expression (Transcription)
Interaction between PHLDA1 and AURKA	Cell Cycle
Synthesis of bile acids and bile salts via 24-hydroxycholesterol	Metabolism
Downregulation of TGF-beta receptor signaling	Signal Transduction
TGF-beta receptor signaling activates SMADs	Signal Transduction
HuR (ELAVL1) binds and stabilizes mRNA	Metabolism of RNA
Cyclin A/B1/B2 associated events during G2/M transition	Cell Cycle
Reduction of cytosolic Ca++ levels	Hemostasis
Platelet calcium homeostasis	Hemostasis
Interaction between L1 and Ankyrins	Developmental Biology
Other semaphorin interactions	Developmental Biology
Purine ribonucleoside monophosphate biosynthesis	Metabolism
Nucleotide biosynthesis	Metabolism
tRNA processing in the mitochondrion	Metabolism of RNA
tRNA modification in the mitochondrion	Metabolism of RNA
rRNA processing in the mitochondrion	Metabolism of RNA
Downregulation of SMAD2/3:SMAD4 transcriptional activity	Gene expression (Transcription)
AKT phosphorylates targets in the cytosol	Signal Transduction
mRNA decay by 5' to 3' exoribonuclease	Metabolism of RNA
Plasma lipoprotein assembly, remodeling, and clearance	Transport of small molecules
LDL clearance	Transport of small molecules
Plasma lipoprotein clearance	Transport of small molecules
Orexin and neuropeptides FF and QRFP bind to their respective receptors	Signal Transduction
RNA Polymerase I Transcription Initiation	Gene expression (Transcription)
RNA Polymerase I Promoter Escape	Gene expression (Transcription)
RNA Polymerase I Promoter Clearance	Gene expression (Transcription)
RNA Polymerase I Transcription Termination	Gene expression (Transcription)
RNA Polymerase I Transcription	Gene expression (Transcription)
Signaling by FGFR in disease	Disease
Signaling by cytosolic FGFR1 fusion mutants	Disease
FGFR1 mutant receptor activation	Disease
Signaling by FGFR1 in disease	Disease
Beta-catenin phosphorylation cascade	Signal Transduction
Signaling by WNT in cancer	Disease
Signaling by AXIN mutants	Disease
Signaling by CTNNB1 phospho-site mutants	Disease
Signaling by APC mutants	Disease
Signaling by AMER1 mutants	Disease
Signaling by GSK3beta mutants	Disease
CTNNB1 S33 mutants aren't phosphorylated	Disease
CTNNB1 S37 mutants aren't phosphorylated	Disease
CTNNB1 S45 mutants aren't phosphorylated	Disease
CTNNB1 T41 mutants aren't phosphorylated	Disease
APC truncation mutants have impaired AXIN binding	Disease
AXIN missense mutants destabilize the destruction complex	Disease
Truncations of AMER1 destabilize the destruction complex	Disease
RUNX1 regulates estrogen receptor mediated transcription	Gene expression (Transcription)
RUNX1 regulates transcription of genes involved in WNT signaling	Gene expression (Transcription)
Germ layer formation at gastrulation	Developmental Biology
Epithelial-Mesenchymal Transition (EMT) during gastrulation	Developmental Biology
Prefoldin mediated transfer of substrate  to CCT/TriC	Metabolism of proteins
Tryptophan catabolism	Metabolism
Laminin interactions	Extracellular matrix organization
