OG	C. elegans	D. melanogaster	H. sapiens	M. musculus	R. norvegicus	S. cerevisiae	X. laevis
6272	tag-253	CG8031	MEMO1	Memo1	Memo1	MHO1	memo1
6274	B0491.1	CG9865	PIGM	Pigm	Pigm	GPI14	pigm
6275	Y47D3A.21	CG9099	DENR	Denr	LOC687565	TMA22	denr
6285	R53.2	CG5757	DTYMK	Dtymk	Dtymk	CDC8	dtymk
6287	cct-5	Cct5	CCT5	Cct5	Cct5	CCT5	cct5
6290	dohh-1	nero	DOHH	Dohh	Dohh	LIA1	LOC100145112
6330	CELE_Y54E10BR.1	CG2292	PIGN	Pign	Pign	MCD4	pign
6337	ZK856.10	CG7339	POLR3H	Polr3h	Polr3h	RPC25	polr3h
6347	CELE_Y57G11C.43	CG3587	KTI12	Kti12	Kti12	KTI12	kti12
6349	CELE_C16C10.2	CG1789	UTP11L	Utp11l	Utp11l	UTP11	utp11l
6368	T27F7.1	vps24	CHMP3	Chmp3	Chmp3	VPS24	chmp3
6382	vps-2	vps2	CHMP2A	Chmp2a	Chmp2a	DID4	chmp2a
6384	drp-1	Drp1	DNM1L	Dnm1l	Dnm1l	DNM1	dnm1l
6391	unc-50	CG9773	UNC50	Unc50	Unc50	GMH1	unc50
6395	Y71H2AM.1	CG4933	OSGEP	Osgep	Osgep	KAE1	osgep
6399	ZK1098.5	Bet3	TRAPPC3	Trappc3	Trappc3	BET3	trappc3
6404	Y54E10A.10	CG7993	RPF2	Rpf2	Rpf2	RPF2	rpf2
6430	ZK430.7	CG7275	DCAF13	Dcaf13	Dcaf13	SOF1	dcaf13
6438	sbds-1	CG8549	SBDS	Sbds	Sbds	SDO1	sbds
6447	CELE_C08B6.8	CG10214	REXO2	Rexo2	Rexo2	REX2	rexo2
6449	CELE_F29C12.4	ico	GFM1	Gfm1	Gfm1	MEF1	gfm1
6451	arp-6	Arp6	ACTR6	Actr6	Actr6	ARP6	actr6
6471	B0491.7	Dph5	DPH5	Dph5	Dph5	DPH5	dph5
6479	npp-20	sec13	SEC13	Sec13	Sec13	SEC13	sec13
6487	CELE_Y75B8A.14	CG2656	GPN3	Gpn3	Gpn3	GPN3	gpn3
6488	map-1	CG13630	METAP1	Metap1	Metap1	MAP1	metap1
6493	CELE_D2023.6	CG3608	ADCK1	Adck1	Adck1	YLR253W	adck1
6498	CELE_C24H12.4	Hlc	DDX56	Ddx56	Ddx56	DBP9	ddx56
6499	cpsf-3	Cpsf73	CPSF3	Cpsf3	Cpsf3	YSH1	cpsf3
6505	CELE_ZK1236.1	waw	GUF1	Guf1	Guf1	GUF1	guf1
6517	rla-0	RpLP0	RPLP0	Rplp0	Rplp0	RPP0	rplp0
6526	lars-2	Aats-leu	LARS2	Lars2	Lars2	NAM2	lars2
6528	K04G2.6	CG5608	VAC14	Vac14	Vac14	VAC14	vac14
6533	Y37E11B.5	CG10463	DUS3L	Dus3l	Dus3l	DUS3	dus3l
6535	C45G9.2	CG10495	DUS4L	Dus4l	Dus4l	DUS4	dus4l
6553	T22C1.3	CG13089	PIGU	Pigu	Pigu	GAB1	pigu
6559	coq-5	CG2453	COQ5	Coq5	Coq5	COQ5	coq5
6564	M18.3	CG17486	ASNSD1	Asnsd1	Asnsd1	YML096W	asnsd1
6599	ubc-14	crl	UBE2G2	Ube2g2	Ube2g2	UBC7	ube2g2
6600	F39B2.7	CG18528	GTPBP3	Gtpbp3	Gtpbp3	MSS1	gtpbp3
6607	immp-2	CG11110	IMMP2L	Immp2l	Immp2l	IMP2	immp2l
6612	CELE_Y48B6A.1	CG5033	BOP1	Bop1	Bop1	ERB1	bop1
6644	CELE_Y54H5A.1	l(2)09851	GRWD1	Grwd1	Grwd1	RRB1	grwd1
6697	B0511.6	pit	DDX18	Ddx18	Ddx18	HAS1	ddx18
6699	Y41D4A.6	gatA	QRSL1	Qrsl1	Qrsl1	HER2	qrsl1
6730	F44B9.8	RfC3	RFC5	Rfc5	Rfc5	RFC3	rfc5
6752	dnj-17	CG2790	DNAJC21	Dnajc21	Dnajc21	JJJ1	dnajc21
6754	ssup-72	Ssu72	SSU72	Ssu72	Ssu72	SSU72	ssu72
6756	C14A4.3	CG11851	ALG9	Alg9	Alg9	ALG9	alg9
6760	riok-2	CG11859	RIOK2	Riok2	Riok2	RIO2	riok2
6768	mrpl-11	mRpL11	MRPL11	Mrpl11	mrpl11	MRPL19	mrpl11
6774	ZK688.3	CG5793	FAHD1	Fahd1	Fahd1	FMP41	fahd1
6781	lsm-7	LSm7	LSM7	Lsm7	Lsm7	LSM7	lsm7
6785	nath-10	l(1)G0020	NAT10	Nat10	Nat10	KRE33	nat10
6802	Y47D3A.29	DNApol-alpha180	POLA1	Pola1	Pola1	POL1	pola1
6806	Y48E1C.2	CG11596	C9orf41	2410127L17Rik	RGD1311863	YNL092W	c9orf41
6814	dlat-1	CG5261	DLAT	Dlat	Dlat	LAT1	dlat
6834	CELE_D1046.3	CG4743	SLC25A26	Slc25a26	Slc25a26	PET8	slc25a26
6848	mrps-12	tko	MRPS12	Mrps12	Mrps12	MRPS12	mrps12
6858	ngp-1	ns2	GNL2	Gnl2	Gnl2	NOG2	gnl2
6867	exos-3	Rrp40	EXOSC3	Exosc3	Exosc3	RRP40	LOC100491278
6875	Y49A3A.3	CG18048	TRMT13	Trmt13	Trmt13	TRM13	trmt13
6876	Y71F9AL.1	CG1074	TRMT11	Trmt11	Trmt11	TRM11	trmt11
6885	rfc-2	RfC4	RFC2	Rfc2	Rfc2	RFC4	rfc2
6886	F25H8.1	CG14618	TRMT10A	Trmt10a	Trmt10a	TRM10	trmt10a
6910	dis-3	Dis3	DIS3	Dis3	Dis3	DIS3	dis3
6920	C08B11.8	gny	ALG6	Alg6	Alg6	ALG6	alg6
6927	xrn-2	Rat1	XRN2	Xrn2	Xrn2	RAT1	xrn2
6937	ZK686.3	Ostgamma	TUSC3	Tusc3	Tusc3	OST3	tusc3
6943	rpia-1	Rpi	RPIA	Rpia	Rpia	RKI1	rpia
6950	riok-1	CG11660	RIOK1	Riok1	Riok1	RIO1	riok1
6953	clk-1	COQ7	COQ7	Coq7	Coq7	CAT5	coq7
6961	Y53C12B.2	l(1)G0004	PNO1	Pno1	Pno1	PNO1	pno1
6973	F26H9.5	CG11899	PSAT1	Psat1	Psat1	SER1	psat1
6980	pro-2	CG9246	NOC2L	Noc2l	Noc2l	NOC2	noc2l
6981	F09F7.3	RpIII128	POLR3B	Polr3b	Polr3b	RET1	polr3b
6988	R11.1	CG5254	SLC25A21	Slc25a21	Slc25a21	ODC2	slc25a21
6992	C34C12.8	Roe1	GRPEL1	Grpel1	Grpel1	MGE1	grpel1
6997	F25B5.6	CG2543	FPGS	Fpgs	Fpgs	MET7	fpgs
7010	gro-1	CG31381	TRIT1	Trit1	Trit1	MOD5	trit1
7024	nol-5	nop5	NOP58	Nop58	Nop58	NOP58	nop58
7033	Y48E1A.1	RpI1	POLR1A	Polr1a	Polr1a	RPA190	polr1a
7047	E02H1.1	CG11837	DIMT1	Dimt1	Dimt1	DIM1	dimt1
7060	H43I07.3	wol	ALG5	Alg5	Alg5	ALG5	alg5
7065	CELE_Y61A9LA.10	CG7728	BMS1	Bms1	Bms1	BMS1	bms1
7083	lars-1	CG33123	LARS	Lars	Lars	CDC60	lars
7093	dars-2	CG31739	DARS2	Dars2	Dars2	MSD1	dars2
7097	yars-1	CG16912	YARS2	Yars2	Yars2	MSY1	yars2
7100	T07A9.9	CG8801	GTPBP4	Gtpbp4	Gtpbp4	NOG1	gtpbp4
7105	elpc-3	Elp3	ELP3	Elp3	LOC100362548	ELP3	elp3
7118	iars-2	CG5414	IARS2	Iars2	Iars2	ISM1	iars2
7133	F14B4.3	RpI135	POLR1B	Polr1b	Polr1b	RPA135	polr1b
7135	eif-6	eIF6	EIF6	Eif6	Eif6	TIF6	eif6
7140	ZK688.9	CG9578	TIPRL	Tiprl	Tiprl	TIP41	tiprl
7144	fre-1	CG13667	NDOR1	Ndor1	Ndor1	TAH18	ndor1
7151	phf-5	CG9548	PHF5A	Phf5a	Phf5a	RDS3	phf5a
7158	rbd-1	CG3335	RBM19	Rbm19	Rbm19	MRD1	rbm19
7159	pisy-1	Pis	CDIPT	Cdipt	Cdipt	PIS1	cdipt
7160	CELE_C01G10.9	CG11334	MRI1	Mri1	Mri1	MRI1	mri1
7165	Y97E10AL.3	CG14222	NAA20	Naa20	Naa20	NAT3	naa20
7191	sand-1	CG11926	MON1A	Mon1a	Mon1a	MON1	mon1a
7387	stt-3	OstStt3	STT3B	Stt3b	Stt3b	STT3	stt3b
7561	taf-6.1	Taf6	TAF6	Taf6	Taf6	TAF6	taf6
8106	CELE_C01G10.8	CG1416	AHSA1	Ahsa1	Ahsa1	AHA1	ahsa1
8512	mog-1	l(1)G0007	DHX38	Dhx38	Dhx38	PRP16	dhx38
8624	CELE_Y54E10BR.5	twr	SEC11C	Sec11c	Sec11c	SEC11	sec11c
9205	F21D5.1	nst	PGM3	Pgm3	Pgm3	PCM1	pgm3
9359	exos-1	Csl4	EXOSC1	Exosc1	Exosc1	CSL4	exosc1
9374	vps-36	Vps36	VPS36	Vps36	Vps36	VPS36	vps36
9384	R07E5.13	Mpc1	MPC1	Mpc1	Mpc1	FMP37	mpc1
9444	fzr-1	rap	FZR1	Fzr1	Fzr1	CDH1	fzr1
9462	rpl-24.2	RpL24-like	RSL24D1	Rsl24d1	Rsl24d1	RLP24	rsl24d1
9542	Y54E5A.5	CG7519	PBDC1	Pbdc1	Pbdc1	YPL225W	pbdc1
9683	coq-3	CG9249	COQ3	Coq3	Coq3	COQ3	coq3
9817	Y48G8AL.5	Nsun2	NSUN2	Nsun2	Nsun2	NCL1	nsun2
10039	T09F3.2	CG18317	SLC25A36	Slc25a36	Slc25a36	RIM2	slc25a36
10085	Y71H2AM.11	CG17337	CNDP2	Cndp2	Cndp2	DUG1	cndp2
10098	tag-345	CG6724	WDR12	Wdr12	Wdr12	YTM1	wdr12
10117	png-1	Pngl	NGLY1	Ngly1	Ngly1	PNG1	ngly1
10975	ubc-26	CG5823	UBE2J2	Ube2j2	Ube2j2	UBC6	ube2j2
11339	tag-124	CG3045	PUS3	Pus3	Pus3	DEG1	pus3
11852	tars-1	Aats-thr	TARS	Tars	Tars	THS1	tars
12005	F08F8.7	CG30499	RPE	Rpe	Rpe	RPE1	rpe
20100	hum-2	didum	MYO5A	Myo5a	Myo5a	MYO2	myo5a
20319	arl-1	Arf72A	ARL1	Arl1	Arl1	ARL1	arl1
20320	bcat-1	CG1673	BCAT1	Bcat1	Bcat1	BAT2	bcat1
20435	clh-5	ClC-c	CLCN3	Clcn3	Clcn3	GEF1	clcn3
20446	ctps-1	CTPsyn	CTPS1	Ctps	Ctps1	URA8	ctps1
21182	prdx-2	Jafrac1	PRDX2	Prdx2	Prdx2	TSA1	prdx2
21477	prmt-1	Art1	PRMT1	Prmt1	Prmt1	HMT1	prmt1
21542	pgk-1	Pgk	PGK1	Pgk1	Pgk1	PGK1	pgk1
21610	sptl-2	lace	SPTLC2	Sptlc2	Sptlc2	LCB2	sptlc2
21848	R11F4.1	Gk	GK	Gykl1	Gykl1	GUT1	gk
22068	T08G11.1	Vps13	VPS13A	Vps13a	Vps13a	VPS13	vps13a
22370	Y46E12BL.2	CG2691	RRP12	Rrp12	Rrp12	RRP12	rrp12
22614	alx-1	ALiX	PDCD6IP	Pdcd6ip	Pdcd6ip	RIM20	pdcd6ip
22784	abcf-3	CG9330	ABCF3	Abcf3	Abcf3	GCN20	LOC100145696
25175	C47B2.2	CG5537	UPRT	Uprt	Uprt	FUR1	uprt
31281	C01A2.3	CG6404	OXA1L	Oxa1l	Oxa1l	OXA1	oxa1l
31431	mrps-18C	mRpL3	MRPL3	Mrpl3	Mrpl3	MRPL9	mrpl3
31513	asna-1	CG1598	ASNA1	Asna1	Asna1	GET3	asna1
31656	dnj-11	CG10565	DNAJC2	Dnajc2	Dnajc2	ZUO1	dnajc2
31924	CELE_Y54E10BR.4	CG2972	NOB1	Nob1	Nob1	NOB1	nob1
31955	CELE_Y73F8A.27	Fdxh	FDX1L	Fdx1l	Fdx1l	YAH1	fdx1l
31984	glrx-5	CG14407	GLRX5	Glrx5	Glrx5	GRX5	glrx5
32615	T01G1.4	CG10778	DHDDS	Dhdds	Dhdds	RER2	dhdds
34602	CELE_Y116A8C.27	l(2)k14505	ATPAF2	Atpaf2	Atpaf2	ATP12	atpaf2
36154	rab-1	Rab1	RAB1A	Rab1	Rab1a	YPT1	rab1a
36199	pam-1	Psa	NPEPPS	Npepps	Npepps	APE2	npepps
36231	art-1	Sc2	TECR	Tecr	Tecr	TSC13	tecr
37251	T14D7.1	Spat	AGXT	Agxt	Agxt	AGX1	agxt
37264	acl-3	Taz	TAZ	Taz	Taz	TAZ1	taz
37417	rps-20	RpS20	RPS20	Rps20	Rps20	RPS20	rbm6
37457	uda-1	NTPase	ENTPD5	Entpd5	Entpd5	GDA1	entpd5
37483	cku-70	Irbp	XRCC6	Xrcc6	Xrcc6	YKU70	xrcc6
37487	gdi-1	Gdi	GDI1	Gdi1	Gdi1	GDI1	gdi1
37514	F58F12.1	l(1)G0230	ATP5D	Atp5d	Atp5d	ATP16	atp5d
37567	gln-1	Gs1	GLUL	Glul	Glul	GLN1	glul
37670	mpk-1	rl	MAPK1	Mapk1	Mapk1	KSS1	mapk1
37704	rad-23	Rad23	RAD23B	Rad23b	Rad23b	RAD23	rad23b
37714	rps-2	RpS2	RPS2	Rps2	Rps2	RPS2	rps2
37765	R05G6.7	porin	VDAC2	Vdac2	Vdac2	POR1	vdac2
37839	ruvb-1	pont	RUVBL1	Ruvbl1	Ruvbl1	RVB1	ruvbl1
37903	rab-11.1	Rab11	RAB11A	Rab11a	Rab11a	YPT31	rab11a
37906	gspd-1	Zw	G6PD	G6pdx	G6pd	ZWF1	g6pd
37977	gos-28	Gos28	GOSR1	Gosr1	Gosr1	GOS1	gosr1
38195	sec-10	sec10	EXOC5	Exoc5	Exoc5	SEC10	exoc5
38373	tag-184	CG4554	UTP20	Utp20	Utp20	UTP20	utp20
39079	Y50D7A.9	CG4957	TACO1	Taco1	Taco1	YGR021W	taco1
39090	ufd-1	Ufd1-like	UFD1L	Ufd1l	Ufd1l	UFD1	ufd1l
39246	trr-1	Nipped-A	TRRAP	Trrap	Trrap	TRA1	trrap
39452	hsp-6	Hsc70-5	HSPA9	Hspa9	Hspa9	SSC1	hspa9
39642	C37H5.5	CG1234	NOC3L	Noc3l	Noc3l	NOC3	noc3l
40210	CELE_F02E9.9	DppIII	DPP3	Dpp3	Dpp3	YOL057W	dpp3
40496	mcm-4	dpa	MCM4	Mcm4	Mcm4	MCM4	mcm4
40604	fkb-1	CG14715	FKBP2	Fkbp2	Fkbp2	FPR2	fkbp2
40661	emb-5	Spt6	SUPT6H	Supt6	Supt6h	SPT6	supt6h
40714	gpb-2	Gbeta5	GNB5	Gnb5	Gnb5	STE4	gnb5
40848	tsr-1	Trn-SR	TNPO3	Tnpo3	Tnpo3	MTR10	tnpo3
40859	CELE_B0334.4	prel	PRELID1	Prelid1	Prelid1	UPS1	prelid1
40891	gcn-2	Gcn2	EIF2AK4	Eif2ak4	Eif2ak4	GCN2	eif2ak4
40945	lsm-1	LSm1	LSM1	Lsm1	Lsm1	LSM1	lsm1
40971	npp-13	CG7262	NUP93	Nup93	Nup93	NIC96	nup93
41001	evl-14	pds5	PDS5B	Pds5b	Pds5b	PDS5	pds5b
41102	F41C3.4	CG32576	GOLT1B	Golt1b	Golt1b	GOT1	golt1b
41105	F31C3.5	Psf2	GINS2	Gins2	Gins2	PSF2	gins2
41191	T20B12.1	CG5290	TTC27	Ttc27	Ttc27	EMW1	ttc27
41206	F46B6.12	CG4646	C1orf123	0610037L13Rik	RGD1559786	YCR090C	LOC100497300
41235	pnk-4	CG5828	PANK4	Pank4	Pank4	CAB1	pank4
41308	H20J04.4	Dbp45A	DDX49	Ddx49	Ddx49	DBP8	ddx49
41557	F31D4.2	CG11474	C6orf211	1700052N19Rik	RGD1305235	YMR027W	c6orf211
41747	immp-1	CG9240	IMMP1L	Immp1l	Immp1l	IMP1	immp1l
41789	C34E10.10	CG17652	UTP23	Utp23	Utp23	UTP23	utp23
41862	CELE_Y54G11A.11	CG40228	ELOF1	Elof1	Elof1	ELF1	elof1
42951	swd-2.2	Wdr82	WDR82	Wdr82	Wdr82	SWD2	wdr82
44130	CELE_Y39B6A.33	CG1785	GLTSCR2	Gltscr2	Gltscr2	NOP53	gltscr2
44488	alkb-8	CG17807	ALKBH8	Alkbh8	Alkbh8	TRM9	alkbh8
44527	Y67D2.4	CG17141	MTG1	Mtg1	Mtg1	MTG1	mtg1
44781	sec-15	sec15	EXOC6B	Exoc6b	Exoc6b	SEC15	exoc6b
48140	F38E9.5	twf	TWF1	Twf1	Twf1	TWF1	twf1
48227	rad-54	okr	RAD54L	Rad54l	Rad54l	RAD54	rad54l
48343	pkc-1	Pkc98E	PRKCE	Prkce	Prkce	PKC1	prkce
48457	vem-1	MSBP	PGRMC1	Pgrmc1	Pgrmc1	DAP1	pgrmc1
48535	gut-2	CG10418	LSM2	Lsm2	Lsm2	LSM2	lsm2
49610	C37C3.2	eIF5	EIF5	Eif5	Eif5	TIF5	eif5
55495	pdi-2	Pdi	P4HB	P4hb	P4hb	PDI1	p4hb
55567	ran-3	Bj1	RCC1	Rcc1	Rcc1	SRM1	rcc1
55572	kin-10	CkIIbeta	CSNK2B	Csnk2b	Csnk2b	CKB2	csnk2b
55617	cyc-1	CG4769	CYC1	Cyc1	Cyc1	CYT1	MGC75973
55662	ogdh-1	Nc73EF	OGDH	Ogdh	Ogdh	KGD1	ogdh
55711	isw-1	Iswi	SMARCA1	Smarca1	Smarca1	ISW2	smarca1
55730	tct-1	Tctp	TPT1	Tpt1	Tpt1	TMA19	tpt1
55823	cps-6	EndoG	ENDOG	Endog	Endog	NUC1	endog
55850	CELE_Y18D10A.9	Ciao1	CIAO1	Ciao1	Ciao1	CIA1	ciao1
55938	mdh-2	Mdh2	MDH2	Mdh2	Mdh2	MDH1	mdh2
55940	K07E3.4	pug	MTHFD1	Mthfd1	Mthfd1	ADE3	mthfd1
56073	cts-1	kdn	CS	Cs	Cs	CIT2	cs
56284	CELE_C25A1.5	fa2h	FA2H	Fa2h	Fa2h	SCS7	fa2h
56292	T14G10.5	gammaCop	COPG2	Copg2	Copg2	SEC21	copg2
56324	tag-233	Hip14	ZDHHC17	Zdhhc17	Zdhhc17	AKR1	zdhhc17
56537	cor-1	coro	CORO1C	Coro1c	Coro1c	CRN1	coro1c
56672	pmr-1	SPoCk	ATP2C1	Atp2c1	Atp2c1	PMR1	atp2c1
56743	C43E11.9	CG7006	NIP7	Nip7	Nip7	NIP7	nip7
56969	F32D8.14	CG12404	YIPF5	Yipf5	Yipf5	YIP1	yipf5
68173	C33H5.18	CdsA	CDS1	Cds1	Cds1	CDS1	cds1
68273	pph-6	PpV	PPP6C	Ppp6c	Ppp6c	SIT4	ppp6c
68404	nars-1	Aats-asn	NARS	Nars	Nars	DED81	nars
68426	hda-3	Rpd3	HDAC1	Hdac1	Hdac1	RPD3	hdac1
68483	arx-1	Arp3	ACTR3	Actr3	Actr3	ARP3	actr3
68504	tbb-4	betaTub56D	TUBB4B	Tubb4b	Tubb4b	TUB2	tubb4b
68525	K07A12.4	HBS1	HBS1L	Hbs1l	Hbs1l	HBS1	hbs1l
68559	paa-1	Pp2A-29B	PPP2R1A	Ppp2r1a	Ppp2r1a	TPD3	ppp2r1a
68641	coq-4	CG32174	COQ4	Coq4	Coq4	COQ4	coq4
68701	npp-18	Nup44A	SEH1L	Seh1l	LOC100911798	SEH1	seh1l
68728	F44G4.1	CG6712	RPF1	Rpf1	Rpf1	RPF1	rpf1
68813	obr-3	CG42668	OSBPL8	Osbpl8	Osbpl8	OSH7	osbpl8
68832	CELE_C32F10.8	CG1640	GPT2	Gpt2	Gpt2	ALT1	LOC100494152
68891	CELE_ZK795.3	CG11920	IMP4	Imp4	Imp4	IMP4	imp4
68893	B0361.8	CG11306	ALG11	Alg11	Alg11	ALG11	alg11
68973	chl-1	CG11403	DDX11	Ddx11	Ddx11	CHL1	ddx11
69192	coq-2	Coq2	COQ2	Coq2	Coq2	COQ2	LOC100486844
70873	atg-4.1	Atg4	ATG4A	Atg4a	Atg4al1	ATG4	atg4a
70948	CELE_Y18D10A.3	CG2974	APOA1BP	Apoa1bp	Apoa1bp	YNL200C	apoa1bp
80174	plst-1	Fim	LCP1	Lcp1	Lcp1	SAC6	lcp1
80244	E01A2.5	CG1578	DPH6	Dph6	Dph6	DPH6	dph6
81653	psd-1	CG5991	PISD	Pisd	Pisd	PSD1	pisd
81915	sur-6	tws	PPP2R2D	Ppp2r2d	Ppp2r2d	CDC55	ppp2r2d
83271	htz-1	His2Av	H2AFV	H2afv	LOC685909	HTZ1	h2afv
83305	ubl-5	ubl	UBL5	Ubl5	Ubl5	HUB1	ubl5
84592	tbc-6	CG5916	GRTP1	Grtp1	Grtp1	MSB3	grtp1
86986	Y92H12A.2	Nedd4	NEDD4L	Nedd4l	Nedd4l	RSP5	nedd4l
90874	kin-3	CkIIalpha	CSNK2A1	Csnk2a1	Csnk2a1	CKA2	LOC100498392
90887	atg-18	Atg18	WIPI2	Wipi2	Wipi2	ATG18	LOC100497399
90894	mrpl-13	mRpL13	MRPL13	Mrpl13	Mrpl13	MRPL23	mrpl13
90938	Y38F2AR.12	CG4752	OPLAH	Oplah	Oplah	OXP1	oplah
100630	rpt-4	Rpt4	PSMC6	Psmc6	Psmc6	RPT4	psmc6
100661	mys-1	Tip60	KAT5	Kat5	Kat5	ESA1	kat5
100830	ccr-4	twin	CNOT6L	Cnot6l	Cnot6l	CCR4	cnot6l
100934	rab-8	Rab8	RAB8A	Rab8a	Rab8a	SEC4	rab8a
103894	ubc-8	Ubc-E2H	UBE2H	Ube2h	Ube2h	UBC8	ube2h
105453	F36D4.2	Trs23	TRAPPC4	Trappc4	Trappc4	TRS23	trappc4
107623	ufd-2	CG9934	UBE4B	Ube4b	Ube4b	UFD2	ube4b
110649	rpl-5	RpL5	RPL5	Rpl5	Rpl5	RPL5	rpl5
110703	chat-1	CG9947	TMEM30A	Tmem30a	Tmem30a	YNR048W	tmem30a
111992	C37H5.6	CG17273	ADSSL1	Adssl1	Adssl1	ADE12	adssl1
115477	Y37E3.8	RpL27A	RPL27A	Rpl27a	Rpl27a	RPL28	rpl27a
115690	R10H10.6	CG2846	RFK	Rfk	Rfk	FMN1	rfk
121718	kin-1	Pka-C1	PRKACB	Prkacb	Prkacb	TPK1	prkacb
123934	vha-13	Vha68-1	ATP6V1A	Atp6v1a	Atp6v1a	VMA1	atp6v1a
123971	skih-2	tst	SKIV2L	Skiv2l	Skiv2l	SKI2	skiv2l
128432	tpi-1	Tpi	TPI1	Tpi1	LOC100911515	TPI1	tpi1
129854	rpb-10	Rpb10	POLR2L	Polr2l	LOC100911840	RPB10	polr2l.1
134420	lgg-1	Atg8a	GABARAPL1	Gabarapl1	Gabarapl1	ATG8	gabarapl1
