OG	Human	Species	Human_gene	Gene
6291	H. sapiens	X. laevis	PEMT	pemt
6291	H. sapiens	S. cerevisiae	PEMT	OPI3
6303	H. sapiens	R. norvegicus	VPS25	Vps25
6303	H. sapiens	D. melanogaster	VPS25	Vps25
6303	H. sapiens	C. elegans	VPS25	vps-25
6303	H. sapiens	M. musculus	VPS25	Vps25
6303	H. sapiens	X. laevis	VPS25	vps25
6320	H. sapiens	R. norvegicus	SACM1L	Sacm1l
6320	H. sapiens	C. elegans	SACM1L	sac-1
6320	H. sapiens	D. melanogaster	SACM1L	Sac1
6320	H. sapiens	M. musculus	SACM1L	Sacm1l
6320	H. sapiens	S. cerevisiae	SACM1L	SAC1
6323	H. sapiens	M. musculus	PRKRIP1	Prkrip1
6323	H. sapiens	X. laevis	PRKRIP1	prkrip1
6323	H. sapiens	R. norvegicus	PRKRIP1	Prkrip1
6330	H. sapiens	M. musculus	PIGN	Pign
6330	H. sapiens	S. cerevisiae	PIGN	MCD4
6330	H. sapiens	X. laevis	PIGN	pign
6330	H. sapiens	C. elegans	PIGN	CELE_Y54E10BR.1
6330	H. sapiens	R. norvegicus	PIGN	Pign
6330	H. sapiens	D. melanogaster	PIGN	CG2292
6332	H. sapiens	X. laevis	SRPRB	srprb
6332	H. sapiens	C. elegans	SRPRB	R186.3
6332	H. sapiens	R. norvegicus	SRPRB	Srprb
6332	H. sapiens	D. melanogaster	SRPRB	SrpRbeta
6332	H. sapiens	M. musculus	SRPRB	Srprb
6333	H. sapiens	X. laevis	CARKD	carkd
6333	H. sapiens	S. cerevisiae	CARKD	YKL151C
6333	H. sapiens	D. melanogaster	CARKD	CG10424
6333	H. sapiens	M. musculus	CARKD	Carkd
6333	H. sapiens	R. norvegicus	CARKD	Carkd
6337	H. sapiens	C. elegans	POLR3H	ZK856.10
6337	H. sapiens	M. musculus	POLR3H	Polr3h
6337	H. sapiens	R. norvegicus	POLR3H	Polr3h
6337	H. sapiens	X. laevis	POLR3H	polr3h
6337	H. sapiens	S. cerevisiae	POLR3H	RPC25
6337	H. sapiens	D. melanogaster	POLR3H	CG7339
6338	H. sapiens	X. laevis	LTV1	ltv1
6338	H. sapiens	D. melanogaster	LTV1	CG7686
6338	H. sapiens	R. norvegicus	LTV1	Ltv1
6338	H. sapiens	C. elegans	LTV1	T23D8.3
6338	H. sapiens	M. musculus	LTV1	Ltv1
6343	H. sapiens	M. musculus	SLC25A35	Slc25a35
6343	H. sapiens	R. norvegicus	SLC25A35	Slc25a35
6347	H. sapiens	M. musculus	KTI12	Kti12
6347	H. sapiens	D. melanogaster	KTI12	CG3587
6347	H. sapiens	S. cerevisiae	KTI12	KTI12
6347	H. sapiens	R. norvegicus	KTI12	Kti12
6347	H. sapiens	C. elegans	KTI12	CELE_Y57G11C.43
6347	H. sapiens	X. laevis	KTI12	kti12
6349	H. sapiens	C. elegans	UTP11L	CELE_C16C10.2
6349	H. sapiens	D. melanogaster	UTP11L	CG1789
6349	H. sapiens	S. cerevisiae	UTP11L	UTP11
6349	H. sapiens	M. musculus	UTP11L	Utp11l
6349	H. sapiens	X. laevis	UTP11L	utp11l
6349	H. sapiens	R. norvegicus	UTP11L	Utp11l
6356	H. sapiens	D. melanogaster	DHX36	CG9323
6356	H. sapiens	X. laevis	DHX36	dhx36
6356	H. sapiens	M. musculus	DHX36	Dhx36
6356	H. sapiens	R. norvegicus	DHX36	Dhx36
6368	H. sapiens	M. musculus	CHMP3	Chmp3
6368	H. sapiens	C. elegans	CHMP3	T27F7.1
6368	H. sapiens	D. melanogaster	CHMP3	vps24
6368	H. sapiens	S. cerevisiae	CHMP3	VPS24
6368	H. sapiens	R. norvegicus	CHMP3	Chmp3
6368	H. sapiens	X. laevis	CHMP3	chmp3
6372	H. sapiens	M. musculus	PAN3	Pan3
6372	H. sapiens	S. cerevisiae	PAN3	PAN3
6372	H. sapiens	R. norvegicus	PAN3	Pan3
6372	H. sapiens	X. laevis	PAN3	pan3
6377	H. sapiens	M. musculus	PRPF40A	Prpf40a
6377	H. sapiens	C. elegans	PRPF40A	ZK1098.1
6377	H. sapiens	R. norvegicus	PRPF40A	Prpf40a
6377	H. sapiens	X. laevis	PRPF40A	prpf40a
6382	H. sapiens	D. melanogaster	CHMP2A	vps2
6382	H. sapiens	S. cerevisiae	CHMP2A	DID4
6382	H. sapiens	R. norvegicus	CHMP2A	Chmp2a
6382	H. sapiens	M. musculus	CHMP2A	Chmp2a
6382	H. sapiens	X. laevis	CHMP2A	chmp2a
6382	H. sapiens	C. elegans	CHMP2A	vps-2
6384	H. sapiens	S. cerevisiae	DNM1L	DNM1
6384	H. sapiens	X. laevis	DNM1L	dnm1l
6384	H. sapiens	R. norvegicus	DNM1L	Dnm1l
6384	H. sapiens	D. melanogaster	DNM1L	Drp1
6384	H. sapiens	C. elegans	DNM1L	drp-1
6384	H. sapiens	M. musculus	DNM1L	Dnm1l
6389	H. sapiens	X. laevis	DDX31	ddx31
6389	H. sapiens	R. norvegicus	DDX31	Ddx31
6389	H. sapiens	D. melanogaster	DDX31	CG8611
6389	H. sapiens	S. cerevisiae	DDX31	DBP7
6389	H. sapiens	M. musculus	DDX31	Ddx31
6391	H. sapiens	D. melanogaster	UNC50	CG9773
6391	H. sapiens	S. cerevisiae	UNC50	GMH1
6391	H. sapiens	M. musculus	UNC50	Unc50
6391	H. sapiens	C. elegans	UNC50	unc-50
6391	H. sapiens	R. norvegicus	UNC50	Unc50
6391	H. sapiens	X. laevis	UNC50	unc50
6395	H. sapiens	C. elegans	OSGEP	Y71H2AM.1
6395	H. sapiens	M. musculus	OSGEP	Osgep
6395	H. sapiens	S. cerevisiae	OSGEP	KAE1
6395	H. sapiens	X. laevis	OSGEP	osgep
6395	H. sapiens	R. norvegicus	OSGEP	Osgep
6395	H. sapiens	D. melanogaster	OSGEP	CG4933
6396	H. sapiens	R. norvegicus	TMEM184B	Tmem184b
6396	H. sapiens	M. musculus	TMEM184B	Tmem184b
6396	H. sapiens	C. elegans	TMEM184B	F40E10.6
6396	H. sapiens	D. melanogaster	TMEM184B	CG12004
6396	H. sapiens	X. laevis	TMEM184B	tmem184b
6399	H. sapiens	C. elegans	TRAPPC3	ZK1098.5
6399	H. sapiens	D. melanogaster	TRAPPC3	Bet3
6399	H. sapiens	X. laevis	TRAPPC3	trappc3
6399	H. sapiens	M. musculus	TRAPPC3	Trappc3
6399	H. sapiens	S. cerevisiae	TRAPPC3	BET3
6399	H. sapiens	R. norvegicus	TRAPPC3	Trappc3
6403	H. sapiens	R. norvegicus	ELAC2	Elac2
6403	H. sapiens	M. musculus	ELAC2	Elac2
6403	H. sapiens	C. elegans	ELAC2	hoe-1
6403	H. sapiens	D. melanogaster	ELAC2	JhI-1
6403	H. sapiens	X. laevis	ELAC2	elac2
6404	H. sapiens	D. melanogaster	RPF2	CG7993
6404	H. sapiens	M. musculus	RPF2	Rpf2
6404	H. sapiens	C. elegans	RPF2	Y54E10A.10
6404	H. sapiens	R. norvegicus	RPF2	Rpf2
6404	H. sapiens	S. cerevisiae	RPF2	RPF2
6404	H. sapiens	X. laevis	RPF2	rpf2
6406	H. sapiens	M. musculus	DHX35	Dhx35
6406	H. sapiens	C. elegans	DHX35	Y67D2.6
6406	H. sapiens	R. norvegicus	DHX35	Dhx35
6406	H. sapiens	X. laevis	DHX35	dhx35
6406	H. sapiens	D. melanogaster	DHX35	CG3225
6421	H. sapiens	R. norvegicus	PRPF19	Prpf19
6421	H. sapiens	M. musculus	PRPF19	Prpf19
6421	H. sapiens	X. laevis	PRPF19	prpf19
6421	H. sapiens	D. melanogaster	PRPF19	Prp19
6430	H. sapiens	D. melanogaster	DCAF13	CG7275
6430	H. sapiens	X. laevis	DCAF13	dcaf13
6430	H. sapiens	M. musculus	DCAF13	Dcaf13
6430	H. sapiens	R. norvegicus	DCAF13	Dcaf13
6430	H. sapiens	S. cerevisiae	DCAF13	SOF1
6430	H. sapiens	C. elegans	DCAF13	ZK430.7
6431	H. sapiens	X. laevis	DDX27	ddx27
6431	H. sapiens	C. elegans	DDX27	Y71G12B.8
6431	H. sapiens	M. musculus	DDX27	Ddx27
6431	H. sapiens	R. norvegicus	DDX27	Ddx27
6431	H. sapiens	D. melanogaster	DDX27	Rs1
6438	H. sapiens	C. elegans	SBDS	sbds-1
6438	H. sapiens	M. musculus	SBDS	Sbds
6438	H. sapiens	X. laevis	SBDS	sbds
6438	H. sapiens	R. norvegicus	SBDS	Sbds
6438	H. sapiens	D. melanogaster	SBDS	CG8549
6438	H. sapiens	S. cerevisiae	SBDS	SDO1
6443	H. sapiens	M. musculus	TMEM97	Tmem97
6443	H. sapiens	R. norvegicus	TMEM97	Tmem97
6443	H. sapiens	X. laevis	TMEM97	tmem97
6447	H. sapiens	X. laevis	REXO2	rexo2
6447	H. sapiens	D. melanogaster	REXO2	CG10214
6447	H. sapiens	S. cerevisiae	REXO2	REX2
6447	H. sapiens	M. musculus	REXO2	Rexo2
6447	H. sapiens	R. norvegicus	REXO2	Rexo2
6447	H. sapiens	C. elegans	REXO2	CELE_C08B6.8
6449	H. sapiens	X. laevis	GFM1	gfm1
6449	H. sapiens	M. musculus	GFM1	Gfm1
6449	H. sapiens	R. norvegicus	GFM1	Gfm1
6449	H. sapiens	S. cerevisiae	GFM1	MEF1
6449	H. sapiens	D. melanogaster	GFM1	ico
6449	H. sapiens	C. elegans	GFM1	CELE_F29C12.4
6451	H. sapiens	C. elegans	ACTR6	arp-6
6451	H. sapiens	D. melanogaster	ACTR6	Arp6
6451	H. sapiens	S. cerevisiae	ACTR6	ARP6
6451	H. sapiens	R. norvegicus	ACTR6	Actr6
6451	H. sapiens	X. laevis	ACTR6	actr6
6451	H. sapiens	M. musculus	ACTR6	Actr6
6460	H. sapiens	R. norvegicus	CPSF2	Cpsf2
6460	H. sapiens	D. melanogaster	CPSF2	Cpsf100
6460	H. sapiens	M. musculus	CPSF2	Cpsf2
6460	H. sapiens	C. elegans	CPSF2	cpsf-2
6460	H. sapiens	X. laevis	CPSF2	cpsf2
6469	H. sapiens	C. elegans	ACSS2	acs-19
6469	H. sapiens	D. melanogaster	ACSS2	AcCoAS
6469	H. sapiens	M. musculus	ACSS2	Acss2
6469	H. sapiens	R. norvegicus	ACSS2	Acss2
6469	H. sapiens	X. laevis	ACSS2	acss2
6471	H. sapiens	S. cerevisiae	DPH5	DPH5
6471	H. sapiens	D. melanogaster	DPH5	Dph5
6471	H. sapiens	X. laevis	DPH5	dph5
6471	H. sapiens	C. elegans	DPH5	B0491.7
6471	H. sapiens	R. norvegicus	DPH5	Dph5
6471	H. sapiens	M. musculus	DPH5	Dph5
6473	H. sapiens	R. norvegicus	VTA1	Vta1
6473	H. sapiens	X. laevis	VTA1	vta1
6473	H. sapiens	M. musculus	VTA1	Vta1
6473	H. sapiens	C. elegans	VTA1	T23G11.7
6473	H. sapiens	D. melanogaster	VTA1	CG7967
6477	H. sapiens	D. melanogaster	COQ9	CG30493
6477	H. sapiens	X. laevis	COQ9	coq9
6477	H. sapiens	S. cerevisiae	COQ9	COQ9
6477	H. sapiens	R. norvegicus	COQ9	Coq9
6477	H. sapiens	M. musculus	COQ9	Coq9
6479	H. sapiens	C. elegans	SEC13	npp-20
6479	H. sapiens	M. musculus	SEC13	Sec13
6479	H. sapiens	D. melanogaster	SEC13	sec13
6479	H. sapiens	R. norvegicus	SEC13	Sec13
6479	H. sapiens	X. laevis	SEC13	sec13
6479	H. sapiens	S. cerevisiae	SEC13	SEC13
6487	H. sapiens	D. melanogaster	GPN3	CG2656
6487	H. sapiens	C. elegans	GPN3	CELE_Y75B8A.14
6487	H. sapiens	R. norvegicus	GPN3	Gpn3
6487	H. sapiens	M. musculus	GPN3	Gpn3
6487	H. sapiens	X. laevis	GPN3	gpn3
6487	H. sapiens	S. cerevisiae	GPN3	GPN3
6488	H. sapiens	C. elegans	METAP1	map-1
6488	H. sapiens	M. musculus	METAP1	Metap1
6488	H. sapiens	R. norvegicus	METAP1	Metap1
6488	H. sapiens	D. melanogaster	METAP1	CG13630
6488	H. sapiens	X. laevis	METAP1	metap1
6488	H. sapiens	S. cerevisiae	METAP1	MAP1
6489	H. sapiens	X. laevis	SHPRH	shprh
6489	H. sapiens	D. melanogaster	SHPRH	CG7376
6489	H. sapiens	M. musculus	SHPRH	Shprh
6489	H. sapiens	R. norvegicus	SHPRH	Shprh
6493	H. sapiens	M. musculus	ADCK1	Adck1
6493	H. sapiens	X. laevis	ADCK1	adck1
6493	H. sapiens	C. elegans	ADCK1	CELE_D2023.6
6493	H. sapiens	S. cerevisiae	ADCK1	YLR253W
6493	H. sapiens	D. melanogaster	ADCK1	CG3608
6493	H. sapiens	R. norvegicus	ADCK1	Adck1
6497	H. sapiens	X. laevis	NCAPD2	ncapd2
6497	H. sapiens	M. musculus	NCAPD2	Ncapd2
6497	H. sapiens	S. cerevisiae	NCAPD2	YCS4
6497	H. sapiens	D. melanogaster	NCAPD2	CAP-D2
6497	H. sapiens	R. norvegicus	NCAPD2	Ncapd2
6498	H. sapiens	X. laevis	DDX56	ddx56
6498	H. sapiens	C. elegans	DDX56	CELE_C24H12.4
6498	H. sapiens	M. musculus	DDX56	Ddx56
6498	H. sapiens	R. norvegicus	DDX56	Ddx56
6498	H. sapiens	S. cerevisiae	DDX56	DBP9
6498	H. sapiens	D. melanogaster	DDX56	Hlc
6499	H. sapiens	D. melanogaster	CPSF3	Cpsf73
6499	H. sapiens	R. norvegicus	CPSF3	Cpsf3
6499	H. sapiens	M. musculus	CPSF3	Cpsf3
6499	H. sapiens	X. laevis	CPSF3	cpsf3
6499	H. sapiens	C. elegans	CPSF3	cpsf-3
6499	H. sapiens	S. cerevisiae	CPSF3	YSH1
6505	H. sapiens	M. musculus	GUF1	Guf1
6505	H. sapiens	C. elegans	GUF1	CELE_ZK1236.1
6505	H. sapiens	S. cerevisiae	GUF1	GUF1
6505	H. sapiens	R. norvegicus	GUF1	Guf1
6505	H. sapiens	D. melanogaster	GUF1	waw
6505	H. sapiens	X. laevis	GUF1	guf1
6507	H. sapiens	S. cerevisiae	EIF2B2	GCD7
6507	H. sapiens	R. norvegicus	EIF2B2	Eif2b2
6507	H. sapiens	D. melanogaster	EIF2B2	eIF2B-beta
6507	H. sapiens	X. laevis	EIF2B2	eif2b2
6507	H. sapiens	M. musculus	EIF2B2	Eif2b2
6517	H. sapiens	R. norvegicus	RPLP0	Rplp0
6517	H. sapiens	X. laevis	RPLP0	rplp0
6517	H. sapiens	C. elegans	RPLP0	rla-0
6517	H. sapiens	D. melanogaster	RPLP0	RpLP0
6517	H. sapiens	M. musculus	RPLP0	Rplp0
6517	H. sapiens	S. cerevisiae	RPLP0	RPP0
6519	H. sapiens	X. laevis	SLC25A10	slc25a10
6519	H. sapiens	R. norvegicus	SLC25A10	Slc25a10
6519	H. sapiens	M. musculus	SLC25A10	Slc25a10
6519	H. sapiens	S. cerevisiae	SLC25A10	DIC1
6520	H. sapiens	S. cerevisiae	NIT2	NIT3
6520	H. sapiens	D. melanogaster	NIT2	CG8132
6520	H. sapiens	X. laevis	NIT2	nit2
6520	H. sapiens	M. musculus	NIT2	Nit2
6520	H. sapiens	R. norvegicus	NIT2	Nit2
6526	H. sapiens	R. norvegicus	LARS2	Lars2
6526	H. sapiens	D. melanogaster	LARS2	Aats-leu
6526	H. sapiens	S. cerevisiae	LARS2	NAM2
6526	H. sapiens	X. laevis	LARS2	lars2
6526	H. sapiens	C. elegans	LARS2	lars-2
6526	H. sapiens	M. musculus	LARS2	Lars2
6528	H. sapiens	X. laevis	VAC14	vac14
6528	H. sapiens	C. elegans	VAC14	K04G2.6
6528	H. sapiens	R. norvegicus	VAC14	Vac14
6528	H. sapiens	D. melanogaster	VAC14	CG5608
6528	H. sapiens	S. cerevisiae	VAC14	VAC14
6528	H. sapiens	M. musculus	VAC14	Vac14
6533	H. sapiens	C. elegans	DUS3L	Y37E11B.5
6533	H. sapiens	M. musculus	DUS3L	Dus3l
6533	H. sapiens	X. laevis	DUS3L	dus3l
6533	H. sapiens	S. cerevisiae	DUS3L	DUS3
6533	H. sapiens	R. norvegicus	DUS3L	Dus3l
6533	H. sapiens	D. melanogaster	DUS3L	CG10463
6535	H. sapiens	C. elegans	DUS4L	C45G9.2
6535	H. sapiens	M. musculus	DUS4L	Dus4l
6535	H. sapiens	S. cerevisiae	DUS4L	DUS4
6535	H. sapiens	R. norvegicus	DUS4L	Dus4l
6535	H. sapiens	X. laevis	DUS4L	dus4l
6535	H. sapiens	D. melanogaster	DUS4L	CG10495
6536	H. sapiens	R. norvegicus	WDR36	LOC688637
6536	H. sapiens	S. cerevisiae	WDR36	UTP21
6536	H. sapiens	D. melanogaster	WDR36	CG9799
6536	H. sapiens	M. musculus	WDR36	Wdr36
6536	H. sapiens	X. laevis	WDR36	wdr36
6545	H. sapiens	M. musculus	CORO1A	Coro1a
6545	H. sapiens	X. laevis	CORO1A	coro2b
6545	H. sapiens	R. norvegicus	CORO1A	Coro1a
6548	H. sapiens	D. melanogaster	LSM3	LSm3
6548	H. sapiens	X. laevis	LSM3	lsm3
6548	H. sapiens	C. elegans	LSM3	lsm-3
6548	H. sapiens	M. musculus	LSM3	Lsm3
6548	H. sapiens	R. norvegicus	LSM3	Lsm3
6553	H. sapiens	X. laevis	PIGU	pigu
6553	H. sapiens	M. musculus	PIGU	Pigu
6553	H. sapiens	R. norvegicus	PIGU	Pigu
6553	H. sapiens	C. elegans	PIGU	T22C1.3
6553	H. sapiens	D. melanogaster	PIGU	CG13089
6553	H. sapiens	S. cerevisiae	PIGU	GAB1
6559	H. sapiens	S. cerevisiae	COQ5	COQ5
6559	H. sapiens	D. melanogaster	COQ5	CG2453
6559	H. sapiens	M. musculus	COQ5	Coq5
6559	H. sapiens	X. laevis	COQ5	coq5
6559	H. sapiens	C. elegans	COQ5	coq-5
6559	H. sapiens	R. norvegicus	COQ5	Coq5
6564	H. sapiens	S. cerevisiae	ASNSD1	YML096W
6564	H. sapiens	D. melanogaster	ASNSD1	CG17486
6564	H. sapiens	R. norvegicus	ASNSD1	Asnsd1
6564	H. sapiens	M. musculus	ASNSD1	Asnsd1
6564	H. sapiens	C. elegans	ASNSD1	M18.3
6564	H. sapiens	X. laevis	ASNSD1	asnsd1
6569	H. sapiens	D. melanogaster	DUS1L	CG3645
6569	H. sapiens	X. laevis	DUS1L	dus1l
6569	H. sapiens	R. norvegicus	DUS1L	Pp3111
6569	H. sapiens	C. elegans	DUS1L	F36A2.2
6569	H. sapiens	M. musculus	DUS1L	Dus1l
6574	H. sapiens	S. cerevisiae	ERGIC2	ERV41
6574	H. sapiens	D. melanogaster	ERGIC2	CG4293
6574	H. sapiens	X. laevis	ERGIC2	ergic2
6574	H. sapiens	M. musculus	ERGIC2	Ergic2
6578	H. sapiens	M. musculus	HAO1	Hao1
6578	H. sapiens	D. melanogaster	HAO1	CG18003
6578	H. sapiens	C. elegans	HAO1	F41E6.5
6578	H. sapiens	R. norvegicus	HAO1	Hao1
6579	H. sapiens	C. elegans	SF3B3	teg-4
6579	H. sapiens	X. laevis	SF3B3	sf3b3
6579	H. sapiens	R. norvegicus	SF3B3	Sf3b3
6579	H. sapiens	D. melanogaster	SF3B3	CG13900
6579	H. sapiens	M. musculus	SF3B3	Sf3b3
6581	H. sapiens	M. musculus	SLC35C2	Slc35c2
6581	H. sapiens	R. norvegicus	SLC35C2	Slc35c2
6581	H. sapiens	C. elegans	SLC35C2	CELE_Y47G6A.7
6581	H. sapiens	S. cerevisiae	SLC35C2	YMD8
6581	H. sapiens	D. melanogaster	SLC35C2	CG14971
6585	H. sapiens	C. elegans	UNG	ung-1
6585	H. sapiens	R. norvegicus	UNG	Ung
6585	H. sapiens	M. musculus	UNG	Ung
6585	H. sapiens	S. cerevisiae	UNG	UNG1
6585	H. sapiens	X. laevis	UNG	ung
6599	H. sapiens	R. norvegicus	UBE2G2	Ube2g2
6599	H. sapiens	M. musculus	UBE2G2	Ube2g2
6599	H. sapiens	C. elegans	UBE2G2	ubc-14
6599	H. sapiens	D. melanogaster	UBE2G2	crl
6599	H. sapiens	X. laevis	UBE2G2	ube2g2
6599	H. sapiens	S. cerevisiae	UBE2G2	UBC7
6600	H. sapiens	R. norvegicus	GTPBP3	Gtpbp3
6600	H. sapiens	X. laevis	GTPBP3	gtpbp3
6600	H. sapiens	C. elegans	GTPBP3	F39B2.7
6600	H. sapiens	S. cerevisiae	GTPBP3	MSS1
6600	H. sapiens	M. musculus	GTPBP3	Gtpbp3
6600	H. sapiens	D. melanogaster	GTPBP3	CG18528
6607	H. sapiens	C. elegans	IMMP2L	immp-2
6607	H. sapiens	S. cerevisiae	IMMP2L	IMP2
6607	H. sapiens	X. laevis	IMMP2L	immp2l
6607	H. sapiens	M. musculus	IMMP2L	Immp2l
6607	H. sapiens	R. norvegicus	IMMP2L	Immp2l
6607	H. sapiens	D. melanogaster	IMMP2L	CG11110
6612	H. sapiens	X. laevis	BOP1	bop1
6612	H. sapiens	R. norvegicus	BOP1	Bop1
6612	H. sapiens	S. cerevisiae	BOP1	ERB1
6612	H. sapiens	M. musculus	BOP1	Bop1
6612	H. sapiens	D. melanogaster	BOP1	CG5033
6612	H. sapiens	C. elegans	BOP1	CELE_Y48B6A.1
6629	H. sapiens	R. norvegicus	UTP15	Utp15
6629	H. sapiens	M. musculus	UTP15	Utp15
6629	H. sapiens	D. melanogaster	UTP15	CG3071
6629	H. sapiens	X. laevis	UTP15	utp15
6629	H. sapiens	S. cerevisiae	UTP15	UTP15
6636	H. sapiens	M. musculus	HMCES	Hmces
6636	H. sapiens	D. melanogaster	HMCES	CG11986
6636	H. sapiens	R. norvegicus	HMCES	Hmces
6636	H. sapiens	X. laevis	HMCES	hmces
6641	H. sapiens	C. elegans	DHX37	rha-2
6641	H. sapiens	M. musculus	DHX37	Dhx37
6641	H. sapiens	X. laevis	DHX37	LOC734015
6641	H. sapiens	R. norvegicus	DHX37	Dhx37
6641	H. sapiens	D. melanogaster	DHX37	kz
6644	H. sapiens	S. cerevisiae	GRWD1	RRB1
6644	H. sapiens	C. elegans	GRWD1	CELE_Y54H5A.1
6644	H. sapiens	D. melanogaster	GRWD1	l(2)09851
6644	H. sapiens	R. norvegicus	GRWD1	Grwd1
6644	H. sapiens	X. laevis	GRWD1	grwd1
6644	H. sapiens	M. musculus	GRWD1	Grwd1
6645	H. sapiens	R. norvegicus	CCDC25	Ccdc25
6645	H. sapiens	X. laevis	CCDC25	ccdc25
6645	H. sapiens	D. melanogaster	CCDC25	CG4593
6645	H. sapiens	C. elegans	CCDC25	CELE_Y54G11A.2
6645	H. sapiens	M. musculus	CCDC25	Ccdc25
6659	H. sapiens	C. elegans	WRN	wrn-1
6659	H. sapiens	M. musculus	WRN	Wrn
6659	H. sapiens	R. norvegicus	WRN	RGD1564788
6659	H. sapiens	X. laevis	WRN	wrn
6668	H. sapiens	M. musculus	USP27X	Usp27x
6668	H. sapiens	R. norvegicus	USP27X	Usp27x
6673	H. sapiens	R. norvegicus	VPS11	Vps11
6673	H. sapiens	X. laevis	VPS11	vps11
6673	H. sapiens	M. musculus	VPS11	Vps11
6678	H. sapiens	M. musculus	SF3B2	Sf3b2
6678	H. sapiens	R. norvegicus	SF3B2	Sf3b2
6678	H. sapiens	X. laevis	SF3B2	sf3b2
6678	H. sapiens	D. melanogaster	SF3B2	CG3605
6678	H. sapiens	C. elegans	SF3B2	CELE_W03F9.10
6681	H. sapiens	M. musculus	SLC30A1	Slc30a1
6681	H. sapiens	R. norvegicus	SLC30A1	Slc30a1
6681	H. sapiens	X. laevis	SLC30A1	slc30a1
6681	H. sapiens	S. cerevisiae	SLC30A1	ZRC1
6681	H. sapiens	D. melanogaster	SLC30A1	ZnT63C
6696	H. sapiens	M. musculus	SF3B1	Sf3b1
6696	H. sapiens	X. laevis	SF3B1	sf3b1
6696	H. sapiens	R. norvegicus	SF3B1	Sf3b1
6696	H. sapiens	D. melanogaster	SF3B1	CG2807
6696	H. sapiens	C. elegans	SF3B1	T08A11.2
6697	H. sapiens	D. melanogaster	DDX18	pit
6697	H. sapiens	S. cerevisiae	DDX18	HAS1
6697	H. sapiens	M. musculus	DDX18	Ddx18
6697	H. sapiens	X. laevis	DDX18	ddx18
6697	H. sapiens	R. norvegicus	DDX18	Ddx18
6697	H. sapiens	C. elegans	DDX18	B0511.6
6699	H. sapiens	S. cerevisiae	QRSL1	HER2
6699	H. sapiens	X. laevis	QRSL1	qrsl1
6699	H. sapiens	D. melanogaster	QRSL1	gatA
6699	H. sapiens	R. norvegicus	QRSL1	Qrsl1
6699	H. sapiens	C. elegans	QRSL1	Y41D4A.6
6699	H. sapiens	M. musculus	QRSL1	Qrsl1
6700	H. sapiens	M. musculus	FILIP1	Filip1
6700	H. sapiens	X. laevis	FILIP1	filip1
6700	H. sapiens	R. norvegicus	FILIP1	Filip1
6704	H. sapiens	X. laevis	C9orf114	c9orf114
6704	H. sapiens	C. elegans	C9orf114	B0361.6
6704	H. sapiens	D. melanogaster	C9orf114	CG12128
6704	H. sapiens	M. musculus	C9orf114	D2Wsu81e
6713	H. sapiens	M. musculus	FIG4	Fig4
6713	H. sapiens	D. melanogaster	FIG4	CG17840
6713	H. sapiens	X. laevis	FIG4	fig4
6713	H. sapiens	R. norvegicus	FIG4	Fig4
6713	H. sapiens	S. cerevisiae	FIG4	FIG4
6716	H. sapiens	S. cerevisiae	ABHD13	YNL320W
6716	H. sapiens	D. melanogaster	ABHD13	Bem46
6716	H. sapiens	M. musculus	ABHD13	Abhd13
6716	H. sapiens	X. laevis	ABHD13	abhd13
6716	H. sapiens	R. norvegicus	ABHD13	Abhd13
6730	H. sapiens	S. cerevisiae	RFC5	RFC3
6730	H. sapiens	D. melanogaster	RFC5	RfC3
6730	H. sapiens	C. elegans	RFC5	F44B9.8
6730	H. sapiens	X. laevis	RFC5	rfc5
6730	H. sapiens	M. musculus	RFC5	Rfc5
6730	H. sapiens	R. norvegicus	RFC5	Rfc5
6741	H. sapiens	C. elegans	PI4KB	pifk-1
6741	H. sapiens	R. norvegicus	PI4KB	Pi4kb
6741	H. sapiens	X. laevis	PI4KB	pi4kb
6741	H. sapiens	D. melanogaster	PI4KB	fwd
6741	H. sapiens	M. musculus	PI4KB	Pi4kb
6747	H. sapiens	R. norvegicus	MRPL46	Mrpl46
6747	H. sapiens	D. melanogaster	MRPL46	mRpL46
6747	H. sapiens	M. musculus	MRPL46	Mrpl46
6747	H. sapiens	X. laevis	MRPL46	mrpl46
6747	H. sapiens	C. elegans	MRPL46	mrpl-46
6750	H. sapiens	X. laevis	NARFL	narfl
6750	H. sapiens	R. norvegicus	NARFL	Narfl
6750	H. sapiens	M. musculus	NARFL	Narfl
6750	H. sapiens	D. melanogaster	NARFL	CG17683
6752	H. sapiens	D. melanogaster	DNAJC21	CG2790
6752	H. sapiens	S. cerevisiae	DNAJC21	JJJ1
6752	H. sapiens	M. musculus	DNAJC21	Dnajc21
6752	H. sapiens	C. elegans	DNAJC21	dnj-17
6752	H. sapiens	R. norvegicus	DNAJC21	Dnajc21
6752	H. sapiens	X. laevis	DNAJC21	dnajc21
6754	H. sapiens	D. melanogaster	SSU72	Ssu72
6754	H. sapiens	X. laevis	SSU72	ssu72
6754	H. sapiens	S. cerevisiae	SSU72	SSU72
6754	H. sapiens	C. elegans	SSU72	ssup-72
6754	H. sapiens	R. norvegicus	SSU72	Ssu72
6754	H. sapiens	M. musculus	SSU72	Ssu72
6756	H. sapiens	X. laevis	ALG9	alg9
6756	H. sapiens	R. norvegicus	ALG9	Alg9
6756	H. sapiens	D. melanogaster	ALG9	CG11851
6756	H. sapiens	M. musculus	ALG9	Alg9
6756	H. sapiens	C. elegans	ALG9	C14A4.3
